AN,Andaman and Nicobar,Port Blair,380581,8249,Hindi
CH,Chandigarh,Chandigarh,1055450,114,English
DN,Dadraand Nagar Haveli,Silvassa,343709,491,Gujarati
DD,Daman and Diu,Daman,243247,112,Gujarati
DL,Delhi,New Delhi,16787941,1490,Hindi
JK,Jammu and Kashmir,Srinagar,12258433,55538,Urdu
LA,Ladakh,Leh,290492,174852,Ladakhi
LD,Lakshadweep,Kavaratti,64473,32,English
PY,Puducherry,Pondicherry,1247953,492,Tamil
